name,description,owners,experts,acronyms,resources
Customer,An individual or organization that has purchased or may purchase goods from Lumina Retail Co.,maya.chen@lumina.example,,,
Loyalty Member,A Customer enrolled in the Lumina Rewards program and assigned a unique loyalty number (LUM-########).,maya.chen@lumina.example,,,
Loyalty Number,A unique identifier assigned to a Loyalty Member. Format: LUM- followed by 8 digits.,maya.chen@lumina.example,,,
Personally Identifiable Information,"Any data that can identify a specific individual (name, email, phone, national ID, date of birth).",maya.chen@lumina.example,,PII,
National ID,A government-issued identifier for a Customer. Highly sensitive PII subject to access restrictions.,maya.chen@lumina.example,,,
Payment Card,A credit or debit card number used to pay for an Order. In scope for PCI-DSS controls.,security.team@lumina.example,,PCI,
Marketing Consent,A Customer's recorded opt-in or opt-out decision for marketing communications under GDPR/CCPA.,privacy.office@lumina.example,,,
Order,A confirmed purchase transaction placed by a Customer for one or more Products.,raj.patel@lumina.example,,,
Order ID,A unique identifier for an Order. Format: ORD- followed by 10 digits.,raj.patel@lumina.example,,,
Product,A sellable item in the Lumina catalog identified by a SKU.,raj.patel@lumina.example,,,
SKU,Stock Keeping Unit. A unique product identifier. Format: SKU-AAA-##### (3 letters + 5 digits).,raj.patel@lumina.example,,,
Product Category,"A grouping of Products by type (e.g., Apparel, Electronics) used for merchandising and reporting.",raj.patel@lumina.example,,,
Sensitive Data,"Data requiring elevated protection due to privacy, regulatory, or contractual obligations.",security.team@lumina.example,,,
Total Amount,The monetary value of an Order line: unit_price multiplied by quantity.,raj.patel@lumina.example,,,
